paths,xmin,ymin,xmax,ymax
n02085620-Chihuahua\n02085620_10074.jpg,0.07507507507507508,0.02,0.8288288288288288,0.996
n02085620-Chihuahua\n02085620_10131.jpg,0.1240506329113924,0.01818181818181818,0.9949367088607595,0.9959595959595959
n02085620-Chihuahua\n02085620_10621.jpg,0.284,0.14429530201342283,0.67,0.8389261744966443
n02085620-Chihuahua\n02085620_1073.jpg,0.0,0.054,0.9043478260869565,0.996
n02085620-Chihuahua\n02085620_10976.jpg,0.2795031055900621,0.21487603305785125,0.7515527950310559,0.9338842975206612
n02085620-Chihuahua\n02085620_11140.jpg,0.034,0.10133333333333333,0.902,0.6746666666666666
n02085620-Chihuahua\n02085620_11238.jpg,0.10209424083769633,0.4973958333333333,0.3795811518324607,0.9973958333333334
n02085620-Chihuahua\n02085620_11258.jpg,0.20266666666666666,0.06,0.968,0.75
n02085620-Chihuahua\n02085620_11337.jpg,0.19666666666666666,0.16444444444444445,0.7633333333333333,0.7955555555555556
n02085620-Chihuahua\n02085620_11477.jpg,0.3573844419391206,0.151033386327504,0.629086809470124,0.7297297297297297
n02085620-Chihuahua\n02085620_1152.jpg,0.006,0.216,0.312,0.6
n02085620-Chihuahua\n02085620_11696.jpg,0.26375,0.0,0.87,0.86
n02085620-Chihuahua\n02085620_11818.jpg,0.32266666666666666,0.18,0.8053333333333333,0.686
n02085620-Chihuahua\n02085620_11948.jpg,0.0,0.034482758620689655,0.922,0.9396551724137931
n02085620-Chihuahua\n02085620_1205.jpg,0.292,0.0,0.7,0.6373333333333333
n02085620-Chihuahua\n02085620_12101.jpg,0.013157894736842105,0.015810276679841896,0.9210526315789473,0.9960474308300395
n02085620-Chihuahua\n02085620_12334.jpg,0.5317725752508361,0.44819277108433736,0.8361204013377926,0.7951807228915663
n02085620-Chihuahua\n02085620_1235.jpg,0.388,0.296,0.55,0.7973333333333333
n02085620-Chihuahua\n02085620_1271.jpg,0.05277777777777778,0.008547008547008548,0.9,0.9971509971509972
n02085620-Chihuahua\n02085620_12718.jpg,0.07807807807807808,0.084,0.9129129129129129,0.974
